X Y Z
338 228 938
339 228 937
340 228 936
341 228 935
342 228 935
343 228 934
344 228 934
336 229 937
337 229 937
338 229 936
339 229 935
340 229 935
341 229 934
342 229 934
343 229 934
344 229 933
345 229 933
346 229 933
335 230 936
336 230 935
337 230 935
338 230 934
339 230 934
340 230 934
341 230 933
342 230 933
343 230 933
344 230 933
345 230 933
346 230 933
335 231 934
336 231 934
337 231 933
338 231 932
339 231 932
340 231 932
341 231 931
342 231 931
343 231 932
344 231 932
345 231 932
346 231 932
347 231 933
335 232 932
336 232 931
337 232 931
338 232 930
339 232 930
340 232 930
341 232 930
342 232 930
343 232 930
344 232 930
345 232 931
346 232 932
347 232 933
334 233 931
335 233 930
336 233 930
337 233 929
338 233 929
339 233 928
340 233 928
341 233 928
342 233 928
343 233 929
344 233 930
345 233 931
346 233 931
347 233 932
334 234 930
335 234 929
336 234 928
337 234 928
338 234 927
339 234 927
340 234 927
341 234 927
342 234 928
343 234 928
344 234 929
345 234 930
346 234 930
347 234 932
334 235 928
335 235 928
336 235 927
337 235 927
338 235 926
339 235 926
340 235 926
341 235 926
342 235 927
343 235 927
344 235 928
345 235 929
346 235 930
347 235 931
333 236 930
334 236 929
335 236 928
336 236 927
337 236 926
338 236 926
339 236 926
340 236 925
341 236 925
342 236 926
343 236 927
344 236 927
345 236 928
346 236 930
347 236 930
333 237 931
334 237 930
335 237 929
336 237 928
337 237 927
338 237 926
339 237 926
340 237 925
341 237 926
342 237 926
343 237 927
344 237 927
345 237 928
346 237 929
347 237 930
333 238 932
334 238 931
335 238 930
336 238 929
337 238 929
338 238 927
339 238 927
340 238 927
341 238 927
342 238 927
343 238 927
344 238 928
345 238 929
346 238 929
347 238 930
333 239 934
334 239 933
335 239 932
336 239 931
337 239 930
338 239 929
339 239 929
340 239 928
341 239 928
342 239 928
343 239 929
344 239 929
345 239 929
346 239 930
347 239 930
333 240 935
334 240 934
335 240 934
336 240 932
337 240 931
338 240 931
339 240 930
340 240 930
341 240 930
342 240 930
343 240 930
344 240 930
345 240 930
346 240 930
347 240 930
333 241 936
334 241 935
335 241 934
336 241 934
337 241 933
338 241 932
339 241 931
340 241 931
341 241 930
342 241 931
343 241 931
344 241 931
345 241 931
346 241 931
347 241 931
333 242 937
334 242 936
335 242 935
336 242 935
337 242 934
338 242 933
339 242 933
340 242 932
341 242 932
342 242 932
343 242 932
344 242 931
345 242 931
346 242 931
347 242 931
333 243 937
334 243 937
335 243 936
336 243 936
337 243 935
338 243 934
339 243 934
340 243 934
341 243 933
342 243 933
343 243 933
344 243 933
345 243 932
346 243 932
347 243 932
333 244 937
334 244 937
335 244 937
336 244 937
337 244 936
338 244 936
339 244 935
340 244 935
341 244 934
342 244 934
343 244 934
344 244 934
345 244 933
346 244 933
347 244 933
333 245 937
334 245 937
335 245 937
336 245 937
337 245 937
338 245 937
339 245 936
340 245 936
341 245 935
342 245 935
343 245 935
344 245 934
345 245 934
346 245 934
347 245 934
334 246 937
335 246 937
336 246 937
337 246 937
338 246 937
339 246 936
340 246 936
341 246 936
342 246 935
343 246 935
344 246 935
345 246 934
346 246 934
347 246 934
334 247 937
335 247 937
336 247 937
337 247 937
338 247 937
339 247 937
340 247 937
341 247 936
342 247 936
343 247 936
344 247 936
345 247 935
346 247 935
347 247 935
334 248 937
335 248 937
336 248 937
337 248 937
338 248 937
339 248 937
340 248 937
341 248 936
342 248 936
343 248 936
344 248 936
345 248 935
346 248 935
347 248 935
334 249 937
335 249 938
336 249 937
337 249 937
338 249 937
339 249 937
340 249 937
341 249 937
342 249 937
343 249 937
344 249 937
345 249 937
346 249 936
347 249 936
334 250 937
335 250 938
336 250 938
337 250 938
338 250 938
339 250 938
340 250 938
341 250 938
342 250 937
343 250 938
344 250 937
345 250 937
346 250 938
347 250 937
334 251 938
335 251 938
336 251 938
337 251 938
338 251 938
339 251 938
340 251 938
341 251 938
342 251 938
343 251 938
344 251 938
345 251 938
346 251 938
347 251 938
334 252 938
335 252 938
336 252 938
337 252 938
338 252 938
339 252 938
340 252 938
341 252 938
342 252 938
343 252 939
344 252 939
345 252 938
346 252 938
347 252 938
335 253 938
336 253 938
337 253 938
338 253 938
339 253 938
340 253 938
341 253 938
342 253 938
343 253 939
344 253 939
345 253 939
346 253 939
347 253 939
335 254 939
336 254 938
337 254 938
338 254 938
339 254 938
340 254 938
341 254 939
342 254 939
343 254 939
344 254 939
345 254 939
346 254 939
335 255 938
336 255 939
337 255 938
338 255 939
339 255 939
340 255 939
341 255 939
342 255 939
343 255 939
344 255 939
345 255 939
346 255 939
335 256 939
336 256 939
337 256 939
338 256 938
339 256 938
340 256 938
341 256 939
342 256 939
343 256 939
344 256 939
345 256 939
335 257 939
336 257 939
337 257 939
338 257 939
339 257 939
340 257 939
341 257 939
342 257 939
343 257 939
344 257 939
335 258 939
336 258 939
337 258 939
338 258 939
339 258 939
340 258 939
341 258 939
342 258 939
343 258 939
344 258 939
336 259 939
337 259 939
338 259 939
339 259 939
340 259 939
341 259 939
342 259 938
343 259 939
336 260 939
337 260 939
338 260 939
339 260 939
340 260 939
341 260 939
342 260 939
343 260 939
337 261 939
338 261 939
339 261 939
340 261 939
341 261 938
342 261 938
338 262 938
339 262 938
340 262 938
341 262 938
342 262 938
